date,pos,neg,neutral,total,status
2012-04-10,926,522,8927,10375,0
2012-04-11,1106,471,8578,10155,1
2012-04-12,1284,502,10055,11841,0
2012-04-13,1088,757,10703,12548,0
2012-04-16,856,431,9628,10915,0
2012-04-17,909,428,10511,11848,0
2012-04-18,763,395,9596,10754,0
2012-04-19,802,340,9753,10895,1
