date,pos,neg,neutral,total,status
2012-04-10,22376,8683,333845,364904,0
2012-04-11,25488,8504,354090,388082,1
2012-04-12,23175,8415,347871,379461,1
2012-04-13,22961,6790,321944,351695,0
2012-04-16,23702,8438,356106,388246,0
2012-04-17,23955,9662,347252,380869,1
2012-04-18,22088,8651,334348,365087,0
2012-04-19,21809,8319,337535,367663,0
