date,pos,neg,neutral,total,status
2012-04-10,144,46,1921,2111,0
2012-04-11,128,55,1861,2044,0
2012-04-12,159,50,1630,1839,1
2012-04-13,114,40,1525,1679,0
2012-04-16,129,18,1896,2043,0
2012-04-17,165,58,2146,2369,0
2012-04-18,316,35,2212,2563,0
2012-04-19,197,66,1861,2124,0
