date,pos,neg,neutral,total,status
2012-04-10,583,123,8580,9286,0
2012-04-11,619,178,10298,11095,1
2012-04-12,463,115,9470,10048,1
2012-04-13,461,123,7052,7636,0
2012-04-16,282,80,4904,5266,1
2012-04-17,499,146,12284,12929,1
2012-04-18,521,105,10799,11425,1
2012-04-19,648,158,12826,13632,0
